"Brewery_id","Brew_name","Beer_ID","Beer_name","ABV","IBU","Style","Ounces","City","State"
1,"NorthGate Brewing ",2692,"Get Together",0.045,50,"American IPA",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2691,"Maggie's Leap",0.049,26,"Milk / Sweet Stout",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2690,"Wall's End",0.048,19,"English Brown Ale",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2689,"Pumpion",0.06,38,"Pumpkin Ale",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2688,"Stronghold",0.06,25,"American Porter",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2687,"Parapet ESB",0.056,47,"Extra Special / Strong Bitter (ESB)",16,"Minneapolis"," MN"
2,"Against the Grain Brewery",2686,"Citra Ass Down",0.08,68,"American Double / Imperial IPA",16,"Louisville"," KY"
2,"Against the Grain Brewery",2685,"London Balling",0.125,80,"English Barleywine",16,"Louisville"," KY"
2,"Against the Grain Brewery",2684,"35 K",0.077,25,"Milk / Sweet Stout",16,"Louisville"," KY"
2,"Against the Grain Brewery",2683,"A Beer",0.042,42,"American Pale Ale (APA)",16,"Louisville"," KY"
2,"Against the Grain Brewery",2682,"Rules are Rules",0.05,25,"German Pilsener",16,"Louisville"," KY"
2,"Against the Grain Brewery",2681,"Flesh Gourd'n",0.066,21,"Pumpkin Ale",16,"Louisville"," KY"
2,"Against the Grain Brewery",2680,"Sho'nuff",0.04,13,"Belgian Pale Ale",16,"Louisville"," KY"
2,"Against the Grain Brewery",2679,"Bloody Show",0.055,17,"American Pilsner",16,"Louisville"," KY"
2,"Against the Grain Brewery",2678,"Rico Sauvin",0.076,68,"American Double / Imperial IPA",16,"Louisville"," KY"
2,"Against the Grain Brewery",2677,"Coq de la Marche",0.051,38,"Saison / Farmhouse Ale",16,"Louisville"," KY"
2,"Against the Grain Brewery",2676,"Kamen Knuddeln",0.065,NA,"American Wild Ale",16,"Louisville"," KY"
2,"Against the Grain Brewery",2675,"Pile of Face",0.06,65,"American IPA",16,"Louisville"," KY"
2,"Against the Grain Brewery",2674,"The Brown Note",0.05,20,"English Brown Ale",16,"Louisville"," KY"
3,"Jack's Abby Craft Lagers",2673,"House Lager",0.052,18,"Keller Bier / Zwickel Bier",16,"Framingham"," MA"
3,"Jack's Abby Craft Lagers",2672,"Leisure Time",0.048,15,"American Pale Lager",12,"Framingham"," MA"
3,"Jack's Abby Craft Lagers",2671,"Excess IPL",0.072,80,"American India Pale Lager",16,"Framingham"," MA"
3,"Jack's Abby Craft Lagers",2670,"Hoponius Union",0.067,65,"American India Pale Lager",12,"Framingham"," MA"
3,"Jack's Abby Craft Lagers",2669,"Calyptra",0.049,45,"American India Pale Lager",12,"Framingham"," MA"
4,"Mike Hess Brewing Company",2668,"Habitus (2014)",0.08,100,"American Double / Imperial IPA",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2667,"Solis",0.075,85,"American IPA",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2666,"Jucundus",0.06,24,"Wheat Ale",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2664,"Habitus",0.08,100,"American Double / Imperial IPA",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2663,"Grazias",0.063,30,"Cream Ale",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2662,"Claritas",0.058,28,"Kölsch",16,"San Diego"," CA"
5,"Fort Point Beer Company",2661,"Park",0.047,19,"American Pale Wheat Ale",12,"San Francisco"," CA"
5,"Fort Point Beer Company",2660,"Westfalia",0.056,16,"American Amber / Red Ale",12,"San Francisco"," CA"
5,"Fort Point Beer Company",2659,"KSA",0.046,17,"Kölsch",12,"San Francisco"," CA"
5,"Fort Point Beer Company",2658,"Villager",0.063,42,"American IPA",12,"San Francisco"," CA"
6,"COAST Brewing Company",2657,"Blackbeard",0.093,NA,"American Double / Imperial Stout",12,"Charleston"," SC"
6,"COAST Brewing Company",2656,"Rye Knot",0.062,NA,"American Brown Ale",12,"Charleston"," SC"
6,"COAST Brewing Company",2655,"Dead Arm",0.06,NA,"American Pale Ale (APA)",12,"Charleston"," SC"
6,"COAST Brewing Company",2654,"32°/50° Kölsch ",0.048,NA,"Kölsch",16,"Charleston"," SC"
6,"COAST Brewing Company",2653,"HopArt",0.077,NA,"American IPA",16,"Charleston"," SC"
6,"COAST Brewing Company",2652,"Boy King",0.097,NA,"American Double / Imperial IPA",16,"Charleston"," SC"
7,"Great Divide Brewing Company",2650,"Denver Pale Ale (Artist Series No. 1)",0.05,NA,"American Pale Ale (APA)",12,"Denver"," CO"
7,"Great Divide Brewing Company",2649,"Hibernation Ale",0.087,NA,"Old Ale",12,"Denver"," CO"
7,"Great Divide Brewing Company",2648,"Whitewater",0.061,NA,"American Pale Wheat Ale",12,"Denver"," CO"
7,"Great Divide Brewing Company",2647,"Rumble",0.071,NA,"American IPA",12,"Denver"," CO"
7,"Great Divide Brewing Company",2646,"Orabelle",0.083,NA,"Tripel",12,"Denver"," CO"
7,"Great Divide Brewing Company",2645,"Lasso",0.05,NA,"American IPA",12,"Denver"," CO"
7,"Great Divide Brewing Company",2644,"Yeti  Imperial Stout",0.095,75,"Russian Imperial Stout",12,"Denver"," CO"
7,"Great Divide Brewing Company",2643,"Colette",0.073,NA,"Saison / Farmhouse Ale",12,"Denver"," CO"
7,"Great Divide Brewing Company",2642,"Titan IPA",0.071,NA,"American IPA",12,"Denver"," CO"
8,"Tapistry Brewing",2640,"Peck's Porter",0.065,35,"American Porter",16,"Bridgman"," MI"
8,"Tapistry Brewing",2448,"Reactor",0.07,NA,"American IPA",16,"Bridgman"," MI"
8,"Tapistry Brewing",2447,"Mr. Orange",0.057,NA,"Witbier",16,"Bridgman"," MI"
9,"Big Lake Brewing",2639,"Dark Star",0.08,54,"American Stout",16,"Holland"," MI"
9,"Big Lake Brewing",2469,"Ryecoe",0.062,NA,"American IPA",16,"Holland"," MI"
10,"The Mitten Brewing Company",2638,"G. B. Russo’s Italian Pistachio Pale Ale",0.052,NA,"American Pale Ale (APA)",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2637,"Belfort",0.067,NA,"Saison / Farmhouse Ale",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2636,"Star Runner",0.06,NA,"Belgian Pale Ale",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2598,"Tart Side of the Barrel",0.098,NA,"American Double / Imperial Stout",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2597,"Linnaeus Mango IPA",0.06,NA,"American IPA",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2548,"Beasts A'Burnin'",0.07,NA,"Rauchbier",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2542,"Verdun",0.077,NA,"Bière de Garde",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2541,"Barrel Aged Triomphe",0.065,NA,"Belgian IPA",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2504,"Cherry Doppelbock",0.065,NA,"Doppelbock",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2500,"Tropical Saison",0.065,NA,"Saison / Farmhouse Ale",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2499,"Beach Patrol",0.065,NA,"Witbier",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2498,"Nuit Serpent",0.05,NA,"Belgian IPA",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2481,"Paris",0.09,NA,"Saison / Farmhouse Ale",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2476,"The Grand Army",0.055,NA,"Belgian IPA",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2467,"Acidulated Trip",0.059,NA,"Saison / Farmhouse Ale",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2466,"Root Stock",0.066,NA,"Rye Beer",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2465,"Mind Games",0.041,NA,"Dunkelweizen",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2433,"Sous Chef",0.082,NA,"Belgian Strong Pale Ale",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2418,"Dubbelicious",0.065,NA,"Dubbel",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2416,"Psychopomp",0.062,NA,"Belgian Dark Ale",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2382,"Fat Paczki",NA,NA,"Belgian Dark Ale",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2381,"Earth-Like Planets",NA,NA,"Belgian Pale Ale",16,"Grand Rapids"," MI"
11,"Brewery Vivant",2290,"Ski Patrol",0.061,NA,"Witbier",16,"Grand Rapids"," MI"
