"Brewery_id","Brew_name","Beer_ID","Beer_name","ABV","IBU","Style","Ounces","City","State"
1,"NorthGate Brewing ",2692,"Get Together",0.045,50,"American IPA",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2691,"Maggie's Leap",0.049,26,"Milk / Sweet Stout",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2690,"Wall's End",0.048,19,"English Brown Ale",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2689,"Pumpion",0.06,38,"Pumpkin Ale",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2688,"Stronghold",0.06,25,"American Porter",16,"Minneapolis"," MN"
1,"NorthGate Brewing ",2687,"Parapet ESB",0.056,47,"Extra Special / Strong Bitter (ESB)",16,"Minneapolis"," MN"
2,"Against the Grain Brewery",2686,"Citra Ass Down",0.08,68,"American Double / Imperial IPA",16,"Louisville"," KY"
2,"Against the Grain Brewery",2685,"London Balling",0.125,80,"English Barleywine",16,"Louisville"," KY"
2,"Against the Grain Brewery",2684,"35 K",0.077,25,"Milk / Sweet Stout",16,"Louisville"," KY"
2,"Against the Grain Brewery",2683,"A Beer",0.042,42,"American Pale Ale (APA)",16,"Louisville"," KY"
2,"Against the Grain Brewery",2682,"Rules are Rules",0.05,25,"German Pilsener",16,"Louisville"," KY"
2,"Against the Grain Brewery",2681,"Flesh Gourd'n",0.066,21,"Pumpkin Ale",16,"Louisville"," KY"
2,"Against the Grain Brewery",2680,"Sho'nuff",0.04,13,"Belgian Pale Ale",16,"Louisville"," KY"
2,"Against the Grain Brewery",2679,"Bloody Show",0.055,17,"American Pilsner",16,"Louisville"," KY"
2,"Against the Grain Brewery",2678,"Rico Sauvin",0.076,68,"American Double / Imperial IPA",16,"Louisville"," KY"
2,"Against the Grain Brewery",2677,"Coq de la Marche",0.051,38,"Saison / Farmhouse Ale",16,"Louisville"," KY"
2,"Against the Grain Brewery",2675,"Pile of Face",0.06,65,"American IPA",16,"Louisville"," KY"
2,"Against the Grain Brewery",2674,"The Brown Note",0.05,20,"English Brown Ale",16,"Louisville"," KY"
3,"Jack's Abby Craft Lagers",2673,"House Lager",0.052,18,"Keller Bier / Zwickel Bier",16,"Framingham"," MA"
3,"Jack's Abby Craft Lagers",2672,"Leisure Time",0.048,15,"American Pale Lager",12,"Framingham"," MA"
3,"Jack's Abby Craft Lagers",2671,"Excess IPL",0.072,80,"American India Pale Lager",16,"Framingham"," MA"
3,"Jack's Abby Craft Lagers",2670,"Hoponius Union",0.067,65,"American India Pale Lager",12,"Framingham"," MA"
3,"Jack's Abby Craft Lagers",2669,"Calyptra",0.049,45,"American India Pale Lager",12,"Framingham"," MA"
4,"Mike Hess Brewing Company",2668,"Habitus (2014)",0.08,100,"American Double / Imperial IPA",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2667,"Solis",0.075,85,"American IPA",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2666,"Jucundus",0.06,24,"Wheat Ale",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2664,"Habitus",0.08,100,"American Double / Imperial IPA",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2663,"Grazias",0.063,30,"Cream Ale",16,"San Diego"," CA"
4,"Mike Hess Brewing Company",2662,"Claritas",0.058,28,"Kölsch",16,"San Diego"," CA"
5,"Fort Point Beer Company",2661,"Park",0.047,19,"American Pale Wheat Ale",12,"San Francisco"," CA"
5,"Fort Point Beer Company",2660,"Westfalia",0.056,16,"American Amber / Red Ale",12,"San Francisco"," CA"
5,"Fort Point Beer Company",2659,"KSA",0.046,17,"Kölsch",12,"San Francisco"," CA"
5,"Fort Point Beer Company",2658,"Villager",0.063,42,"American IPA",12,"San Francisco"," CA"
7,"Great Divide Brewing Company",2644,"Yeti  Imperial Stout",0.095,75,"Russian Imperial Stout",12,"Denver"," CO"
8,"Tapistry Brewing",2640,"Peck's Porter",0.065,35,"American Porter",16,"Bridgman"," MI"
9,"Big Lake Brewing",2639,"Dark Star",0.08,54,"American Stout",16,"Holland"," MI"
12,"Petoskey Brewing",2635,"Sparkle",0.041,12,"American Pale Lager",16,"Petoskey"," MI"
12,"Petoskey Brewing",1404,"North 45 Amber Ale",0.059,25,"American Amber / Red Ale",16,"Petoskey"," MI"
12,"Petoskey Brewing",1403,"Horny Monk",0.069,20,"Dubbel",16,"Petoskey"," MI"
12,"Petoskey Brewing",1402,"Mind's Eye PA",0.067,74,"American IPA",16,"Petoskey"," MI"
13,"Blackrocks Brewery",2634,"Nordskye ",0.048,47,"American IPA",12,"Marquette"," MI"
13,"Blackrocks Brewery",2153,"North Third Stout",0.06,30,"Foreign / Export Stout",12,"Marquette"," MI"
13,"Blackrocks Brewery",1481,"51K IPA",0.07,51,"American IPA",12,"Marquette"," MI"
14,"Perrin Brewing Company",2633,"Hotbox Brown",0.055,10,"American Brown Ale",12,"Comstock Park"," MI"
14,"Perrin Brewing Company",2632,"Gold",0.048,15,"American Blonde Ale",12,"Comstock Park"," MI"
14,"Perrin Brewing Company",2630,"98 Problems (Cuz A Hop Ain't One)",0.065,65,"American IPA",12,"Comstock Park"," MI"
14,"Perrin Brewing Company",2629,"Veteran’s Pale Ale (VPA)",0.05,40,"American Pale Ale (APA)",12,"Comstock Park"," MI"
14,"Perrin Brewing Company",2628,"Grapefruit IPA",0.05,35,"American IPA",12,"Comstock Park"," MI"
15,"Witch's Hat Brewing Company",2627,"Train Hopper",0.058,72,"American IPA",12,"South Lyon"," MI"
16,"Founders Brewing Company",2625,"Dirty Bastard",0.085,50,"Scotch Ale / Wee Heavy",12,"Grand Rapids"," MI"
16,"Founders Brewing Company",1565,"Centennial IPA",0.072,65,"American IPA",12,"Grand Rapids"," MI"
16,"Founders Brewing Company",1223,"All Day IPA",0.047,42,"American IPA",12,"Grand Rapids"," MI"
17,"Flat 12 Bierwerks",2284,"Hinchtown Hammer Down",0.05,27,"American Blonde Ale",16,"Indianapolis"," IN"
17,"Flat 12 Bierwerks",1610,"Half Cycle IPA",0.06,104,"American IPA",16,"Indianapolis"," IN"
18,"Tin Man Brewing Company",2623,"Cafe Leche",0.058,20,"American Porter",16,"Evansville"," IN"
18,"Tin Man Brewing Company",2622,"Damascene Apricot Sour",0.052,12,"Fruit / Vegetable Beer",16,"Evansville"," IN"
18,"Tin Man Brewing Company",2621,"Csar",0.12,90,"Russian Imperial Stout",16,"Evansville"," IN"
18,"Tin Man Brewing Company",1449,"Overlord Imperial IPA",0.085,115,"American Double / Imperial IPA",16,"Evansville"," IN"
18,"Tin Man Brewing Company",951,"Alloy",0.058,36,"American IPA",16,"Evansville"," IN"
18,"Tin Man Brewing Company",950,"Rivet Irish Red Ale",0.051,22,"Irish Red Ale",16,"Evansville"," IN"
18,"Tin Man Brewing Company",949,"3 Gear Robust Porter",0.052,50,"American Porter",16,"Evansville"," IN"
18,"Tin Man Brewing Company",948,"Circuit Bohemian Pilsner",0.045,35,"Czech Pilsener",16,"Evansville"," IN"
19,"Black Acre Brewing Co.",2620,"Saucy Intruder",0.072,75,"Rye Beer",16,"Indianapolis"," IN"
21,"Bare Hands Brewery",2618,"Thai.p.a",0.07,46,"American IPA",16,"Granger"," IN"
22,"Three Pints Brewing",2617,"Citra Faced",0.055,64,"American Pale Wheat Ale",16,"Martinsville"," IN"
22,"Three Pints Brewing",2616,"Pole Barn Stout",0.055,31,"Oatmeal Stout",16,"Martinsville"," IN"
22,"Three Pints Brewing",2615,"Pale",0.054,37,"American Pale Ale (APA)",16,"Martinsville"," IN"
22,"Three Pints Brewing",2614,"Yoshi's Nectar",0.053,27,"California Common / Steam Beer",16,"Martinsville"," IN"
23,"Four Fathers Brewing ",2610,"The Gadget",0.064,90,"American IPA",16,"Valparaiso"," IN"
24,"Indiana City Brewing",2609,"Tribute",0.058,58,"American Pale Ale (APA)",12,"Indianapolis"," IN"
25,"Burn 'Em Brewing",2478,"Pale Alement",0.055,40,"American Pale Ale (APA)",12,"Michigan City"," IN"
25,"Burn 'Em Brewing",2471,"Hopkick Dropkick",0.099,115,"American Double / Imperial IPA",12,"Michigan City"," IN"
25,"Burn 'Em Brewing",2160,"Joey Wheat",0.068,16,"American Pale Wheat Ale",16,"Michigan City"," IN"
25,"Burn 'Em Brewing",2158,"3:33 Black IPA",0.072,86,"American IPA",16,"Michigan City"," IN"
25,"Burn 'Em Brewing",2054,"Pale Alement",0.055,40,"American Pale Ale (APA)",16,"Michigan City"," IN"
26,"Sun King Brewing Company",2605,"Tip Off",0.052,29,"Altbier",16,"Indianapolis"," IN"
26,"Sun King Brewing Company",2164,"Cowbell",0.054,23,"American Porter",16,"Indianapolis"," IN"
