"Beer_ID","Beer Name","Style","ABV","IBU","Ounces","Brew_ID","Brewery Name","City","State"
2692,"Get Together","American IPA",0.045,50,16,1,"NorthGate Brewing ","Minneapolis"," MN"
2691,"Maggie's Leap","Milk / Sweet Stout",0.049,26,16,1,"NorthGate Brewing ","Minneapolis"," MN"
2690,"Wall's End","English Brown Ale",0.048,19,16,1,"NorthGate Brewing ","Minneapolis"," MN"
2689,"Pumpion","Pumpkin Ale",0.06,38,16,1,"NorthGate Brewing ","Minneapolis"," MN"
2688,"Stronghold","American Porter",0.06,25,16,1,"NorthGate Brewing ","Minneapolis"," MN"
2687,"Parapet ESB","Extra Special / Strong Bitter (ESB)",0.056,47,16,1,"NorthGate Brewing ","Minneapolis"," MN"
2686,"Citra Ass Down","American Double / Imperial IPA",0.08,68,16,2,"Against the Grain Brewery","Louisville"," KY"
2685,"London Balling","English Barleywine",0.125,80,16,2,"Against the Grain Brewery","Louisville"," KY"
2684,"35 K","Milk / Sweet Stout",0.077,25,16,2,"Against the Grain Brewery","Louisville"," KY"
2683,"A Beer","American Pale Ale (APA)",0.042,42,16,2,"Against the Grain Brewery","Louisville"," KY"
2682,"Rules are Rules","German Pilsener",0.05,25,16,2,"Against the Grain Brewery","Louisville"," KY"
2681,"Flesh Gourd'n","Pumpkin Ale",0.066,21,16,2,"Against the Grain Brewery","Louisville"," KY"
2680,"Sho'nuff","Belgian Pale Ale",0.04,13,16,2,"Against the Grain Brewery","Louisville"," KY"
2679,"Bloody Show","American Pilsner",0.055,17,16,2,"Against the Grain Brewery","Louisville"," KY"
2678,"Rico Sauvin","American Double / Imperial IPA",0.076,68,16,2,"Against the Grain Brewery","Louisville"," KY"
2677,"Coq de la Marche","Saison / Farmhouse Ale",0.051,38,16,2,"Against the Grain Brewery","Louisville"," KY"
2676,"Kamen Knuddeln","American Wild Ale",0.065,NA,16,2,"Against the Grain Brewery","Louisville"," KY"
2675,"Pile of Face","American IPA",0.06,65,16,2,"Against the Grain Brewery","Louisville"," KY"
2674,"The Brown Note","English Brown Ale",0.05,20,16,2,"Against the Grain Brewery","Louisville"," KY"
2673,"House Lager","Keller Bier / Zwickel Bier",0.052,18,16,3,"Jack's Abby Craft Lagers","Framingham"," MA"
2672,"Leisure Time","American Pale Lager",0.048,15,12,3,"Jack's Abby Craft Lagers","Framingham"," MA"
2671,"Excess IPL","American India Pale Lager",0.072,80,16,3,"Jack's Abby Craft Lagers","Framingham"," MA"
2670,"Hoponius Union","American India Pale Lager",0.067,65,12,3,"Jack's Abby Craft Lagers","Framingham"," MA"
2669,"Calyptra","American India Pale Lager",0.049,45,12,3,"Jack's Abby Craft Lagers","Framingham"," MA"
2668,"Habitus (2014)","American Double / Imperial IPA",0.08,100,16,4,"Mike Hess Brewing Company","San Diego"," CA"
2667,"Solis","American IPA",0.075,85,16,4,"Mike Hess Brewing Company","San Diego"," CA"
2666,"Jucundus","Wheat Ale",0.06,24,16,4,"Mike Hess Brewing Company","San Diego"," CA"
2664,"Habitus","American Double / Imperial IPA",0.08,100,16,4,"Mike Hess Brewing Company","San Diego"," CA"
2663,"Grazias","Cream Ale",0.063,30,16,4,"Mike Hess Brewing Company","San Diego"," CA"
2662,"Claritas","Kölsch",0.058,28,16,4,"Mike Hess Brewing Company","San Diego"," CA"
2661,"Park","American Pale Wheat Ale",0.047,19,12,5,"Fort Point Beer Company","San Francisco"," CA"
2660,"Westfalia","American Amber / Red Ale",0.056,16,12,5,"Fort Point Beer Company","San Francisco"," CA"
2659,"KSA","Kölsch",0.046,17,12,5,"Fort Point Beer Company","San Francisco"," CA"
2658,"Villager","American IPA",0.063,42,12,5,"Fort Point Beer Company","San Francisco"," CA"
2657,"Blackbeard","American Double / Imperial Stout",0.093,NA,12,6,"COAST Brewing Company","Charleston"," SC"
2656,"Rye Knot","American Brown Ale",0.062,NA,12,6,"COAST Brewing Company","Charleston"," SC"
2655,"Dead Arm","American Pale Ale (APA)",0.06,NA,12,6,"COAST Brewing Company","Charleston"," SC"
2654,"32°/50° Kölsch ","Kölsch",0.048,NA,16,6,"COAST Brewing Company","Charleston"," SC"
2653,"HopArt","American IPA",0.077,NA,16,6,"COAST Brewing Company","Charleston"," SC"
2652,"Boy King","American Double / Imperial IPA",0.097,NA,16,6,"COAST Brewing Company","Charleston"," SC"
2650,"Denver Pale Ale (Artist Series No. 1)","American Pale Ale (APA)",0.05,NA,12,7,"Great Divide Brewing Company","Denver"," CO"
2649,"Hibernation Ale","Old Ale",0.087,NA,12,7,"Great Divide Brewing Company","Denver"," CO"
2648,"Whitewater","American Pale Wheat Ale",0.061,NA,12,7,"Great Divide Brewing Company","Denver"," CO"
2647,"Rumble","American IPA",0.071,NA,12,7,"Great Divide Brewing Company","Denver"," CO"
2646,"Orabelle","Tripel",0.083,NA,12,7,"Great Divide Brewing Company","Denver"," CO"
2645,"Lasso","American IPA",0.05,NA,12,7,"Great Divide Brewing Company","Denver"," CO"
2644,"Yeti  Imperial Stout","Russian Imperial Stout",0.095,75,12,7,"Great Divide Brewing Company","Denver"," CO"
2643,"Colette","Saison / Farmhouse Ale",0.073,NA,12,7,"Great Divide Brewing Company","Denver"," CO"
2642,"Titan IPA","American IPA",0.071,NA,12,7,"Great Divide Brewing Company","Denver"," CO"
2640,"Peck's Porter","American Porter",0.065,35,16,8,"Tapistry Brewing","Bridgman"," MI"
2448,"Reactor","American IPA",0.07,NA,16,8,"Tapistry Brewing","Bridgman"," MI"
2447,"Mr. Orange","Witbier",0.057,NA,16,8,"Tapistry Brewing","Bridgman"," MI"
2639,"Dark Star","American Stout",0.08,54,16,9,"Big Lake Brewing","Holland"," MI"
2469,"Ryecoe","American IPA",0.062,NA,16,9,"Big Lake Brewing","Holland"," MI"
2638,"G. B. Russo’s Italian Pistachio Pale Ale","American Pale Ale (APA)",0.052,NA,16,10,"The Mitten Brewing Company","Grand Rapids"," MI"
2637,"Belfort","Saison / Farmhouse Ale",0.067,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2636,"Star Runner","Belgian Pale Ale",0.06,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2598,"Tart Side of the Barrel","American Double / Imperial Stout",0.098,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2597,"Linnaeus Mango IPA","American IPA",0.06,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2548,"Beasts A'Burnin'","Rauchbier",0.07,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2542,"Verdun","Bière de Garde",0.077,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2541,"Barrel Aged Triomphe","Belgian IPA",0.065,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2504,"Cherry Doppelbock","Doppelbock",0.065,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2500,"Tropical Saison","Saison / Farmhouse Ale",0.065,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2499,"Beach Patrol","Witbier",0.065,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2498,"Nuit Serpent","Belgian IPA",0.05,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2481,"Paris","Saison / Farmhouse Ale",0.09,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
2476,"The Grand Army","Belgian IPA",0.055,NA,16,11,"Brewery Vivant","Grand Rapids"," MI"
